"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"4";"";"LEDCHIPLED_1206";"CHIPLED_1206";"FUNCTION-GRN, NOFUNCTION-RED, POWER-BLU, WARNING-ORNG";"LED";"";"";"";"";"";
"1";"";"MCP1700INLINE";"TO92-INLINE";"IC1";"VOLTAGE REGULATOR";"";"";"";"";"";
"2";"";"PINHD-1X3";"1X03";"JP2, JP3";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"";"";
"1";"";"PTCFUSE-1206";"R1206";"F1";"PTC fuses, resettable thermistors";"";"";"";"";"";
"1";"";"SJW";"SJW";"SJ1";"SMD solder JUMPER";"";"";"";"";"";
"1";"";"SWITCH_PUSHBUTTONC&K_KSS";"BTN_CK_KSS";"RESET";"Buttons";"";"";"";"";"";
"2";"100nF";"C-USC1206";"C1206";"C3, C4";"CAPACITOR, American symbol";"";"";"";"";"C";
"1";"10k";"R-US_M1206";"M1206";"R4";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"10uF";"C-USC1206";"C1206";"C5";"CAPACITOR, American symbol";"";"";"";"";"C";
"1";"150\";"R-US_M1206";"M1206";"R3";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"1600";"R-US_M1206";"M1206";"R5";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"16MHz";"CRYSTALCTS406";"CTS406";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"";
"2";"18pF";"C-USC1206";"C1206";"C1, C2";"CAPACITOR, American symbol";"";"";"";"";"C";
"2";"22";"R-US_M1206";"M1206";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"R";
"2";"90";"R-US_M1206";"M1206";"R6, R7";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U$1";"http://www.ladyada.net/library/eagle";"";"";"";"";"";
"1";"USB-A";"USB-A";"MOLEX_480371000";"X1";"USB type A 'plug'";"";"";"";"";"";
